,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
15,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,ALB,Albania,,FMLE,Female,,79.9,79.90692,,,,,
16,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,ALB,Albania,,BTSX,Both sexes,,78.0,78.00018,,,,,
17,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EUR,Europe,,ALB,Albania,,BTSX,Both sexes,,21.0,21.03024,,,,,
18,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,MLE,Male,,75.1,75.09794,,,,,
19,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,MLE,Male,,19.2,19.18054,,,,,
20,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,FMLE,Female,,78.4,78.42261,,,,,
21,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,FMLE,Female,,21.7,21.6932,,,,,
22,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,BTSX,Both sexes,,19.9,19.9195,,,,,
23,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ARG,Argentina,,MLE,Male,,70.3,70.3352,,,,,
24,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ARG,Argentina,,MLE,Male,,18.8,18.8424,,,,,
25,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ARG,Argentina,,FMLE,Female,,77.8,77.82746,,,,,
26,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ARG,Argentina,,FMLE,Female,,23.1,23.08149,,,,,
27,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ARG,Argentina,,BTSX,Both sexes,,74.1,74.08556,,,,,
28,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ARG,Argentina,,BTSX,Both sexes,,20.2,20.18435,,,,,
29,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ARM,Armenia,,MLE,Male,,68.6,68.58817,,,,,
30,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ARM,Armenia,,MLE,Male,,17.1,17.07504,,,,,
31,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ARM,Armenia,,FMLE,Female,,74.9,74.90656,,,,,
32,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ARM,Armenia,,FMLE,Female,,20.2,20.23012,,,,,
33,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ARM,Armenia,,BTSX,Both sexes,,18.8,18.81273,,,,,
34,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,ARM,Armenia,,BTSX,Both sexes,,73.1,73.11896,,,,,
35,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ATG,Antigua and Barbuda,,MLE,Male,,19.1,19.11551,,,,,
36,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ATG,Antigua and Barbuda,,MLE,Male,,73.6,73.56496,,,,,
37,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ATG,Antigua and Barbuda,,FMLE,Female,,21.3,21.31565,,,,,
38,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ATG,Antigua and Barbuda,,FMLE,Female,,78.2,78.24885,,,,,
39,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ATG,Antigua and Barbuda,,BTSX,Both sexes,,75.9,75.94979,,,,,
40,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ATG,Antigua and Barbuda,,BTSX,Both sexes,,20.5,20.49768,,,,,
41,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,AUS,Australia,,MLE,Male,,79.8,79.8374,,,,,
42,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,AUS,Australia,,MLE,Male,,23.3,23.28758,,,,,
43,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,AUS,Australia,,FMLE,Female,,84.0,83.98511,,,,,
44,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,AUS,Australia,,FMLE,Female,,26.1,26.12805,,,,,
45,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,AUS,Australia,,BTSX,Both sexes,,24.7,24.73881,,,,,
46,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,AUS,Australia,,BTSX,Both sexes,,82.3,82.2783,,,,,
47,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,AUT,Austria,,MLE,Male,,21.4,21.43645,,,,,
48,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AUT,Austria,,MLE,Male,,78.6,78.60368,,,,,
49,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,AUT,Austria,,FMLE,Female,,25.2,25.16038,,,,,
50,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AUT,Austria,,FMLE,Female,,83.3,83.28748,,,,,
51,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AUT,Austria,,BTSX,Both sexes,,81.0,80.98208,,,,,
52,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AUT,Austria,,BTSX,Both sexes,,23.6,23.59105,,,,,
53,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AZE,Azerbaijan,,MLE,Male,,67.9,67.94234,,,,,
54,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AZE,Azerbaijan,,MLE,Male,,15.1,15.13816,,,,,
55,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AZE,Azerbaijan,,FMLE,Female,,73.4,73.42561,,,,,
56,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AZE,Azerbaijan,,FMLE,Female,,17.9,17.9467,,,,,
57,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,AZE,Azerbaijan,,FMLE,Female,,74.1,74.09107,,,,,
58,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AZE,Azerbaijan,,BTSX,Both sexes,,16.6,16.6171,,,,,
59,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,AZE,Azerbaijan,,BTSX,Both sexes,,71.4,71.42894,,,,,
60,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BDI,Burundi,,MLE,Male,,14.9,14.85207,,,,,
61,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BDI,Burundi,,MLE,Male,,61.5,61.54819,,,,,
62,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BDI,Burundi,,FMLE,Female,,17.4,17.38546,,,,,
63,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BDI,Burundi,,FMLE,Female,,66.1,66.13831,,,,,
64,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BDI,Burundi,,FMLE,Female,,17.6,17.62977,,,,,
65,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BDI,Burundi,,BTSX,Both sexes,,63.8,63.83847,,,,,
66,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BDI,Burundi,,BTSX,Both sexes,,16.5,16.47308,,,,,
67,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BEL,Belgium,,MLE,Male,,79.3,79.29116,,,,,
68,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BEL,Belgium,,MLE,Male,,22.3,22.32841,,,,,
69,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BEL,Belgium,,FMLE,Female,,25.6,25.5833,,,,,
70,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BEL,Belgium,,BTSX,Both sexes,,77.7,77.66169,,,,,
71,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BEL,Belgium,,BTSX,Both sexes,,24.0,24.02222,,,,,
72,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BEN,Benin,,MLE,Male,,54.3,54.30958,,,,,
73,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BEN,Benin,,MLE,Male,,16.1,16.12865,,,,,
74,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BEN,Benin,,FMLE,Female,,58.8,58.77462,,,,,
75,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BEN,Benin,,BTSX,Both sexes,,56.6,56.59007,,,,,
76,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BEN,Benin,,BTSX,Both sexes,,16.1,16.07895,,,,,
77,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BFA,Burkina Faso,,MLE,Male,,49.9,49.92492,,,,,
78,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BFA,Burkina Faso,,MLE,Male,,14.1,14.09927,,,,,
79,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BFA,Burkina Faso,,FMLE,Female,,53.1,53.14076,,,,,
80,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BFA,Burkina Faso,,FMLE,Female,,16.6,16.62066,,,,,
81,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BFA,Burkina Faso,,BTSX,Both sexes,,15.5,15.52384,,,,,
82,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BFA,Burkina Faso,,BTSX,Both sexes,,58.6,58.59142,,,,,
83,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,BGD,Bangladesh,,MLE,Male,,17.1,17.10725,,,,,
84,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,BGD,Bangladesh,,MLE,Male,,68.6,68.6325,,,,,
85,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,BGD,Bangladesh,,FMLE,Female,,18.7,18.70139,,,,,
86,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,BGD,Bangladesh,,FMLE,Female,,72.2,72.21562,,,,,
87,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,BGD,Bangladesh,,FMLE,Female,,20.1,20.14058,,,,,
88,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,BGD,Bangladesh,,BTSX,Both sexes,,70.3,70.28825,,,,,
89,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,BGD,Bangladesh,,BTSX,Both sexes,,19.0,19.0189,,,,,
90,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BGR,Bulgaria,,MLE,Male,,70.2,70.18677,,,,,
91,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BGR,Bulgaria,,MLE,Male,,16.7,16.69488,,,,,
92,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BGR,Bulgaria,,FMLE,Female,,77.2,77.23328,,,,,
93,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BGR,Bulgaria,,FMLE,Female,,20.9,20.92172,,,,,
94,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,BGR,Bulgaria,,FMLE,Female,,78.0,78.04005,,,,,
95,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EUR,Europe,,BGR,Bulgaria,,BTSX,Both sexes,,18.9,18.91896,,,,,
96,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,BGR,Bulgaria,,BTSX,Both sexes,,74.6,74.55482,,,,,
97,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,BHR,Bahrain,,MLE,Male,,17.4,17.37833,,,,,
98,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,BHR,Bahrain,,MLE,Male,,75.9,75.86536,,,,,
99,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,BHR,Bahrain,,FMLE,Female,,77.3,77.27293,,,,,
100,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,BHR,Bahrain,,FMLE,Female,,20.0,19.95009,,,,,
101,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,BHR,Bahrain,,BTSX,Both sexes,,76.5,76.46371,,,,,
102,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,BHR,Bahrain,,BTSX,Both sexes,,19.7,19.67225,,,,,
103,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BHS,Bahamas,,MLE,Male,,69.7,69.73015,,,,,
104,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BHS,Bahamas,,MLE,Male,,19.3,19.30309,,,,,
105,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BHS,Bahamas,,FMLE,Female,,22.3,22.27824,,,,,
106,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AMR,Americas,,BHS,Bahamas,,FMLE,Female,,76.6,76.58638,,,,,
107,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AMR,Americas,,BHS,Bahamas,,BTSX,Both sexes,,20.9,20.87737,,,,,
108,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AMR,Americas,,BHS,Bahamas,,BTSX,Both sexes,,73.2,73.21226,,,,,
109,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,BIH,Bosnia and Herzegovina,,MLE,Male,,18.3,18.26916,,,,,
110,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BIH,Bosnia and Herzegovina,,MLE,Male,,74.4,74.37591,,,,,
111,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BIH,Bosnia and Herzegovina,,FMLE,Female,,79.1,79.08524,,,,,
